Production DK areas in MWh,,,
Data was last updated 12-11-2015,,,
,DK1,DK2,DK
01-01-2013,51536,32673,84209
02-01-2013,66841,36069,102910
03-01-2013,91924,41019,132943
04-01-2013,85142,36732,121874
05-01-2013,52348,21611,73959
06-01-2013,54034,23519,77553
07-01-2013,56785,25099,81884
08-01-2013,59307,25405,84712
09-01-2013,67168,29579,96747
10-01-2013,77404,34161,111565
11-01-2013,66914,32006,98920
12-01-2013,57819,29545,87364
13-01-2013,54574,29538,84112
14-01-2013,70216,41376,111592
15-01-2013,71397,40369,111766
16-01-2013,70226,43542,113768
17-01-2013,69106,44207,113313
18-01-2013,81605,51149,132754
19-01-2013,77439,45624,123063
20-01-2013,73695,44001,117696
21-01-2013,100145,55697,155842
22-01-2013,90681,50807,141488
23-01-2013,72911,45865,118776
24-01-2013,66482,44941,111423
25-01-2013,78366,43376,121742
26-01-2013,89402,51618,141020
27-01-2013,90058,49818,139876
28-01-2013,90789,48848,139637
29-01-2013,82985,51336,134321
30-01-2013,92913,49505,142418
31-01-2013,78114,48863,126977
01-02-2013,63998,41157,105155
02-02-2013,66257,39688,105945
03-02-2013,69282,39818,109100
04-02-2013,92078,47625,139703
05-02-2013,70681,44043,114724
06-02-2013,68760,42557,111317
07-02-2013,68694,39642,108336
08-02-2013,73162,42263,115425
09-02-2013,61599,40078,101677
10-02-2013,62264,36951,99215
11-02-2013,76763,44646,121409
12-02-2013,72198,44304,116502
13-02-2013,66791,37946,104737
14-02-2013,86757,38471,125228
15-02-2013,71543,40284,111827
16-02-2013,58509,34543,93052
17-02-2013,56202,32209,88411
18-02-2013,79592,43374,122966
19-02-2013,85939,48212,134151
20-02-2013,77365,49076,126441
21-02-2013,70346,43335,113681
22-02-2013,65702,38798,104500
23-02-2013,69851,45899,115750
24-02-2013,81804,47872,129676
25-02-2013,77711,49585,127296
26-02-2013,56958,37156,94114
27-02-2013,59002,34297,93299
28-02-2013,79329,41651,120980
01-03-2013,72443,40493,112936
02-03-2013,94277,44888,139165
03-03-2013,68407,34786,103193
04-03-2013,66049,34640,100689
05-03-2013,64118,31537,95655
06-03-2013,67080,25966,93046
07-03-2013,99178,39800,138978
08-03-2013,102730,39971,142701
09-03-2013,93655,42144,135799
10-03-2013,97995,44811,142806
11-03-2013,82539,38783,121322
12-03-2013,71215,28967,100182
13-03-2013,75712,31459,107171
14-03-2013,68629,31572,100201
15-03-2013,80206,29471,109677
16-03-2013,89276,41145,130421
17-03-2013,90683,46375,137058
18-03-2013,112264,50725,162989
19-03-2013,101463,45291,146754
20-03-2013,87986,38855,126841
21-03-2013,80422,37018,117440
22-03-2013,88504,40894,129398
23-03-2013,83891,34713,118604
24-03-2013,74269,30583,104852
25-03-2013,78286,35153,113439
26-03-2013,70957,29978,100935
27-03-2013,67078,29298,96376
28-03-2013,72474,33399,105873
29-03-2013,70414,28714,99128
30-03-2013,67700,25867,93567
31-03-2013,53092,23747,76839
01-04-2013,52764,20680,73444
02-04-2013,57815,19889,77704
03-04-2013,58544,25043,83587
04-04-2013,60469,31375,91844
05-04-2013,64799,30156,94955
06-04-2013,61445,25807,87252
07-04-2013,63892,32085,95977
08-04-2013,57721,29130,86851
09-04-2013,85688,41637,127325
10-04-2013,86072,40688,126760
11-04-2013,74706,34812,109518
12-04-2013,62999,28446,91445
13-04-2013,55910,25071,80981
14-04-2013,70569,30428,100997
15-04-2013,68545,32910,101455
16-04-2013,72887,26298,99185
17-04-2013,72396,27258,99654
18-04-2013,87313,36150,123463
19-04-2013,94436,33629,128065
20-04-2013,48843,21378,70221
21-04-2013,37970,24031,62001
22-04-2013,61286,25075,86361
23-04-2013,77287,35134,112421
24-04-2013,73053,30080,103133
25-04-2013,51571,23834,75405
26-04-2013,49756,22643,72399
27-04-2013,46377,23193,69570
28-04-2013,54931,19539,74470
29-04-2013,88419,32437,120856
30-04-2013,82486,28128,110614
01-05-2013,44953,15345,60298
02-05-2013,48222,18066,66288
03-05-2013,48013,20542,68555
04-05-2013,62380,22231,84611
05-05-2013,47966,20479,68445
06-05-2013,43741,19709,63450
07-05-2013,44650,22195,66845
08-05-2013,55245,21737,76982
09-05-2013,47765,15188,62953
10-05-2013,67338,17408,84746
11-05-2013,51947,15274,67221
12-05-2013,44757,15394,60151
13-05-2013,65192,22026,87218
14-05-2013,55078,21243,76321
15-05-2013,66748,25374,92122
16-05-2013,50700,19877,70577
17-05-2013,61998,22914,84912
18-05-2013,48976,16840,65816
19-05-2013,29487,10273,39760
20-05-2013,31499,10932,42431
21-05-2013,48003,17266,65269
22-05-2013,79432,21069,100501
23-05-2013,65868,19945,85813
24-05-2013,49805,14071,63876
25-05-2013,41597,12878,54475
26-05-2013,48687,16050,64737
27-05-2013,44545,17437,61982
28-05-2013,41094,22056,63150
29-05-2013,59273,26131,85404
30-05-2013,43170,18424,61594
31-05-2013,43423,19420,62843
01-06-2013,48679,16252,64931
02-06-2013,75050,25675,100725
03-06-2013,68481,27085,95566
04-06-2013,44338,22806,67144
05-06-2013,37779,17328,55107
06-06-2013,38935,15815,54750
07-06-2013,40317,11158,51475
08-06-2013,47241,13840,61081
09-06-2013,39216,14052,53268
10-06-2013,39693,14518,54211
11-06-2013,37099,15492,52591
12-06-2013,43812,15671,59483
13-06-2013,65668,19827,85495
14-06-2013,66158,27389,93547
15-06-2013,52473,19287,71760
16-06-2013,61266,25447,86713
17-06-2013,42144,17248,59392
18-06-2013,36526,14940,51466
19-06-2013,45937,20518,66455
20-06-2013,36650,16538,53188
21-06-2013,43444,22759,66203
22-06-2013,48137,19548,67685
23-06-2013,43887,14661,58548
24-06-2013,41643,16155,57798
25-06-2013,46033,16904,62937
26-06-2013,64487,27959,92446
27-06-2013,49727,23439,73166
28-06-2013,49668,19332,69000
29-06-2013,55408,18589,73997
30-06-2013,53948,25189,79137
01-07-2013,36735,15602,52337
02-07-2013,41253,15338,56591
03-07-2013,44368,17959,62327
04-07-2013,39730,13629,53359
05-07-2013,45026,15791,60817
06-07-2013,27571,11762,39333
07-07-2013,27374,10517,37891
08-07-2013,39473,13930,53403
09-07-2013,45023,14147,59170
10-07-2013,58392,21763,80155
11-07-2013,35386,18032,53418
12-07-2013,31399,11714,43113
13-07-2013,45960,16929,62889
14-07-2013,66843,25598,92441
15-07-2013,56316,19844,76160
16-07-2013,49035,18181,67216
17-07-2013,50089,17438,67527
18-07-2013,52143,19402,71545
19-07-2013,64053,21386,85439
20-07-2013,33114,14539,47653
21-07-2013,30500,14049,44549
22-07-2013,33479,14892,48371
23-07-2013,31825,16800,48625
24-07-2013,30635,13411,44046
25-07-2013,29405,15650,45055
26-07-2013,35372,15768,51140
27-07-2013,32135,15480,47615
28-07-2013,46684,18224,64908
29-07-2013,34405,10228,44633
30-07-2013,41585,16124,57709
31-07-2013,44775,15988,60763
01-08-2013,33989,12126,46115
02-08-2013,44077,13890,57967
03-08-2013,55388,16640,72028
04-08-2013,36116,8880,44996
05-08-2013,45615,11589,57204
06-08-2013,52452,19322,71774
07-08-2013,33257,13798,47055
08-08-2013,42447,16390,58837
09-08-2013,45354,14654,60008
10-08-2013,38138,12310,50448
11-08-2013,55308,20558,75866
12-08-2013,56472,22529,79001
13-08-2013,67281,26020,93301
14-08-2013,66413,28744,95157
15-08-2013,48391,15456,63847
16-08-2013,58885,16656,75541
17-08-2013,39701,13060,52761
18-08-2013,58677,17756,76433
19-08-2013,42640,16297,58937
20-08-2013,41786,15735,57521
21-08-2013,41644,14359,56003
22-08-2013,41784,14145,55929
23-08-2013,40438,16449,56887
24-08-2013,41123,15958,57081
25-08-2013,38426,16566,54992
26-08-2013,35672,14749,50421
27-08-2013,33391,16577,49968
28-08-2013,34753,15057,49810
29-08-2013,44434,15258,59692
30-08-2013,31853,15637,47490
31-08-2013,55037,21151,76188
01-09-2013,62508,23129,85637
02-09-2013,74746,27871,102617
03-09-2013,46865,14258,61123
04-09-2013,35925,15576,51501
05-09-2013,48058,15979,64037
06-09-2013,67016,20494,87510
07-09-2013,45987,17907,63894
08-09-2013,51318,20050,71368
09-09-2013,39802,23746,63548
10-09-2013,44192,18692,62884
11-09-2013,42301,17301,59602
12-09-2013,40860,16753,57613
13-09-2013,35542,15405,50947
14-09-2013,36911,15309,52220
15-09-2013,52822,19711,72533
16-09-2013,66889,28355,95244
17-09-2013,58917,25719,84636
18-09-2013,38816,19313,58129
19-09-2013,37142,18209,55351
20-09-2013,28143,18347,46490
21-09-2013,31729,14631,46360
22-09-2013,54866,23302,78168
23-09-2013,68167,26828,94995
24-09-2013,53697,18918,72615
25-09-2013,57864,21815,79679
26-09-2013,54754,19675,74429
27-09-2013,54456,19352,73808
28-09-2013,45564,17454,63018
29-09-2013,42540,21231,63771
30-09-2013,54883,24628,79511
01-10-2013,59678,20499,80177
02-10-2013,62722,25491,88213
03-10-2013,66347,31732,98079
04-10-2013,70600,33209,103809
05-10-2013,58516,19243,77759
06-10-2013,45939,17446,63385
07-10-2013,65164,20397,85561
08-10-2013,67025,19929,86954
09-10-2013,60943,24148,85091
10-10-2013,57224,21791,79015
11-10-2013,76972,33128,110100
12-10-2013,76132,35255,111387
13-10-2013,53219,20781,74000
14-10-2013,55701,22740,78441
15-10-2013,61790,20700,82490
16-10-2013,56412,21013,77425
17-10-2013,63130,30245,93375
18-10-2013,61527,29652,91179
19-10-2013,55369,29566,84935
20-10-2013,52512,28388,80900
21-10-2013,59677,31627,91304
22-10-2013,75544,30830,106374
23-10-2013,75416,35438,110854
24-10-2013,80157,32462,112619
25-10-2013,61774,25381,87155
26-10-2013,74991,28819,103810
27-10-2013,71225,31250,102475
28-10-2013,78607,36377,114984
29-10-2013,75099,38545,113644
30-10-2013,69204,38167,107371
31-10-2013,80376,40181,120557
01-11-2013,67114,33763,100877
02-11-2013,46564,21786,68350
03-11-2013,80801,35510,116311
04-11-2013,63165,31615,94780
05-11-2013,60295,33832,94127
06-11-2013,51007,27566,78573
07-11-2013,63750,28790,92540
08-11-2013,67243,28169,95412
09-11-2013,68217,38882,107099
10-11-2013,52181,29540,81721
11-11-2013,68204,30580,98784
12-11-2013,76602,37119,113721
13-11-2013,76532,32900,109432
14-11-2013,68652,31606,100258
15-11-2013,69183,29730,98913
16-11-2013,89072,37395,126467
17-11-2013,59034,26854,85888
18-11-2013,64911,28769,93680
19-11-2013,61870,31341,93211
20-11-2013,63467,28231,91698
21-11-2013,67003,29115,96118
22-11-2013,62171,29624,91795
23-11-2013,57687,26227,83914
24-11-2013,63441,33804,97245
25-11-2013,65501,33127,98628
26-11-2013,67378,31331,98709
27-11-2013,99961,41619,141580
28-11-2013,102214,43033,145247
29-11-2013,74170,36218,110388
30-11-2013,64337,30447,94784
01-12-2013,88314,39659,127973
02-12-2013,63343,29792,93135
03-12-2013,78858,32831,111689
04-12-2013,95772,40643,136415
05-12-2013,96040,41544,137584
06-12-2013,97557,39453,137010
07-12-2013,79582,45373,124955
08-12-2013,87313,36117,123430
09-12-2013,63371,27059,90430
10-12-2013,68843,26147,94990
11-12-2013,73534,27626,101160
12-12-2013,86255,28059,114314
13-12-2013,61372,26093,87465
14-12-2013,63144,24942,88086
15-12-2013,79287,33456,112743
16-12-2013,93689,39839,133528
17-12-2013,54830,28073,82903
18-12-2013,68646,29420,98066
19-12-2013,79427,37346,116773
20-12-2013,84892,34403,119295
21-12-2013,101068,42647,143715
22-12-2013,82254,39583,121837
23-12-2013,93725,38746,132471
24-12-2013,81817,38342,120159
25-12-2013,66257,26986,93243
26-12-2013,46839,24103,70942
27-12-2013,87538,37140,124678
28-12-2013,86774,29681,116455
29-12-2013,70135,29835,99970
30-12-2013,87633,35066,122699
31-12-2013,83053,32974,116027
